module,n_nodes,n_up,pct_up,top_nodes
7,82,67,81.7,COL1A1; COL1A2; ITGA2; ITGB4; ITGA5; COL4A1
4,72,48,66.7,JUN; BCL2; MAPK1; FOXO3; MAPK13; SNAI1
3,67,50,74.6,CALML5; ANPEP; ALDH7A1; PRKG1; CACNA1C; ADCY2
11,60,39,65,FGF2; PECAM1; PIK3R1; PDGFRB; MET; PDGFRA
1,54,37,68.5,MMP9; MMP2; CCL2; IL1B; TLR4; ITGAM
13,33,27,81.8,C3; CLU; HCLS1; PRKD1; GATA2; C4A
16,32,10,31.2,OCLN; CLDN5; GJA1; F11R; TJP2; PRKCZ
5,30,18,60,ACTA2; TAGLN; AR; CNN1; MYLK; MYL9
10,29,22,75.9,GNG2; GNB4; F2R; TFPI; PREX1; GNA15
6,25,18,72,BMP4; BMP7; VAV2; SMAD9; CHRD; SMAD6
2,24,8,33.3,SPINT2; MYO5B; ST14; NEXN; PLP1; LDB3
8,24,14,58.3,RASA1; MRAS; PLEK2; PCOLCE2; DLC1; EPS8
9,24,17,70.8,GPC3; FZD7; LRRK2; FZD3; WNT7A; WNT2B
15,23,15,65.2,XDH; MYO5A; ROBO4; GDA; PLXND1; DUOX1
12,20,8,40,LPL; SPHK1; PLPP3; KLF2; PLA2G7; S1PR1
17,11,4,36.4,IFIH1; OAS2; OAS1; SAMD9; SAMD9L; HERC5
14,3,0,0,ST3GAL4; FUT2; B3GNT3
