gene,degree,degree_norm,betweenness,closeness,eigenvector,clustering_coeff,module,MCC,logFC,direction,module_sz,degree_n,betweenness_n,closeness_n,eigenvector_n,MCC_n,hub_score,hub_components,hub_rank,is_hub
FN1,119,0.0926791277258567,0.12269914742594842,0.3539140022050717,1,0.11024070645207236,9,532903551.99999946,4.814732495126698,Up,110,1,1,1,1,1,1,degree+betweenness+closeness+eigenvector+MCC,1,TRUE
IL6,99,0.07710280373831775,0.09233433586645225,0.34525410056466793,0.8201166273817001,0.12574726860441146,7,6161994.000000015,3.223291993153987,Up,154,0.8305084745762712,0.7525263035929244,0.965383214238774,0.8201166273540115,0.011563054868816255,0.6760195349261595,degree+betweenness+closeness+eigenvector+MCC,2,TRUE
COL1A1,59,0.045950155763239874,0.01903302612429467,0.3046986236355007,0.48521286394776686,0.20572764465225016,9,490911396.9999993,3.6529420528633167,Up,110,0.4915254237288136,0.1551194651599475,0.8032681793807259,0.48521286386852785,0.9212012100103266,0.5712654284296683,degree+betweenness+closeness+eigenvector+MCC,3,TRUE
COL1A2,47,0.03660436137071651,0.00767276201384367,0.29483352468427093,0.4303523384531722,0.2913968547641073,9,531665037.99999946,3.2524230902204714,Up,110,0.3898305084745763,0.06253313225729092,0.7638337803438225,0.4303523383654888,0.9976759134036995,0.5288451345689756,degree+betweenness+closeness+eigenvector+MCC,4,TRUE
ITGA4,37,0.02881619937694704,0.007846352770436738,0.2995101469559132,0.40172160053309436,0.2987987987987988,9,520802277.99999946,2.4347982173861507,Up,110,0.3050847457627119,0.06394789968016835,0.7825279454724776,0.4017216004410039,0.9772918120412374,0.5061148006795199,degree+betweenness+closeness+eigenvector+MCC,5,TRUE
ITGA5,36,0.028037383177570093,0.009347289606671723,0.30254476908576816,0.36102616340863447,0.3142857142857143,9,524854793.99999946,1.541915615703334,Up,110,0.2966101694915254,0.0761805587305569,0.7946584370759096,0.36102616331028,0.9848964076428156,0.5026743472502175,degree+betweenness+closeness+eigenvector+MCC,6,TRUE
COL6A1,34,0.0264797507788162,0.0014702867989242756,0.2800436205016358,0.33394788527092,0.45276292335115864,9,529803437.99999946,2.409436543230928,Up,110,0.2796610169491525,0.011982860759579649,0.7047131383574696,0.33394788516839746,0.994182598344142,0.4648974999157483,degree+betweenness+closeness+eigenvector+MCC,7,TRUE
COL4A1,31,0.024143302180685357,9.337901411477032e-4,0.2788879235447437,0.3223430156170143,0.4989247311827957,9,530912787.99999946,3.6592395373817537,Up,110,0.2542372881355932,0.007610404479063439,0.7000933960528943,0.32234301551270544,0.996264307122247,0.45610968226050075,degree+betweenness+closeness+eigenvector+MCC,8,TRUE
ITGA1,28,0.021806853582554516,0.004091502279069837,0.2878923766816143,0.29487290566858676,0.4232804232804233,9,521158898.99999946,1.5460660901429115,Up,110,0.2288135593220339,0.03334580854801087,0.7360874798288294,0.2948729055600496,0.9779610156885593,0.4542161537894966,degree+betweenness+closeness+eigenvector+MCC,9,TRUE
FGF2,60,0.04672897196261682,0.03773271115990331,0.3267175572519084,0.5551038325966987,0.17966101694915254,6,502793.9999999998,1.675034779595299,Up,110,0.5,0.30752219515360374,0.8912858889738227,0.5551038325282178,9.434971845402477e-4,0.4509710827680369,degree+betweenness+closeness+eigenvector+MCC,10,TRUE
ITGA8,29,0.022585669781931463,0.004818385720637519,0.28127053669222346,0.2723379212329433,0.39162561576354676,9,524807723.99999946,2.4250259246645767,Up,110,0.23728813559322035,0.039269920139791664,0.709617569918031,0.2723379211209374,0.9848080802148755,0.4486643253973712,degree+betweenness+closeness+eigenvector+MCC,11,TRUE
COL6A2,29,0.022585669781931463,5.349996497506869e-4,0.27744165946413135,0.30590145961126003,0.539408866995074,9,529947599.99999946,1.5477038205512947,Up,110,0.23728813559322035,0.004360255641332559,0.6943121509635587,0.3059014595044204,0.9944531200918945,0.44726302435888526,degree+betweenness+closeness+eigenvector+MCC,12,TRUE
CXCL8,60,0.04672897196261682,0.032412162058683115,0.3157894736842105,0.5651023625061862,0.18022598870056497,7,5969190.000000015,2.114683421750268,Up,154,0.5,0.2641596354876431,0.847602352676044,0.5651023624392443,0.01120125581598915,0.43761312128378405,degree+betweenness+closeness+eigenvector+MCC,13,TRUE
THBS2,27,0.02102803738317757,0.0015832926448855773,0.28763440860215056,0.30742850616981193,0.45299145299145305,9,484295317.9999993,2.754357807734795,Up,110,0.22033898305084745,0.012903860198711882,0.7350562873152369,0.3074285060632074,0.908786057235336,0.43690273877266794,degree+betweenness+closeness+eigenvector+MCC,14,TRUE
CXCR4,53,0.04127725856697819,0.03812724424641539,0.3276346006634345,0.51093347550916135,0.20754716981132076,7,5942861.000000015,1.5722180312712926,Up,154,0.4406779661016949,0.3107376460739143,0.8949516460030289,0.5109334754338815,0.011151849127010267,0.43369051654790597,degree+betweenness+closeness+eigenvector+MCC,15,TRUE
COL6A3,24,0.018691588785046728,1.945769835835917e-4,0.27249575551782684,0.269423014584446,0.6376811594202898,9,529769519.99999946,2.7320615886265713,Up,110,0.19491525423728814,0.0015858055061142384,0.6745415687544007,0.2694230144719914,0.9941189508042891,0.4269169187548167,degree+betweenness+closeness+eigenvector+MCC,16,FALSE
TLR4,58,0.045171339563862926,0.026740355491394262,0.32547528517110264,0.5053198957994599,0.16515426497277677,7,1245052.9999999998,2.0651965708723883,Up,154,0.4830508474576271,0.2179343218952083,0.8863200743186346,0.5053198957233159,0.002336355232881533,0.41899229892553347,degree+betweenness+closeness+eigenvector+MCC,17,FALSE
PTPRC,57,0.04439252336448598,0.025677006755079078,0.3286409009470182,0.5098874164862347,0.20175438596491227,7,327553.0000000001,1.9924353834562896,Up,154,0.4745762711864407,0.20926801280812243,0.8989741953084103,0.5098874164107938,6.146553149915123e-4,0.4186641102057518,degree+betweenness+closeness+eigenvector+MCC,18,FALSE
ITGA10,21,0.016355140186915886,6.080006456130199e-4,0.27822318526543877,0.23609758764195773,0.6476190476190476,9,520792691.99999946,1.643097391432204,Up,110,0.1694915254237288,0.004955214916875941,0.6974361946714579,0.23609758752437351,0.9772738237955558,0.41705086926639845,degree+betweenness+closeness+eigenvector+MCC,19,FALSE
PECAM1,53,0.04127725856697819,0.020983122660081618,0.33324682065922656,0.5331557699932272,0.2039187227866473,7,112184.00000000003,3.827958069252512,Up,154,0.4406779661016949,0.17101278289439936,0.9173857365165724,0.5331557699213679,2.105127650012603e-4,0.4124885536398072,degree+betweenness+closeness+eigenvector+MCC,20,FALSE
ITGB2,54,0.04205607476635514,0.03133536087973949,0.32116058029014505,0.47172758875458687,0.1663172606568833,7,88024.00000000003,1.8084435072249032,Up,154,0.4491525423728814,0.25538368877950884,0.869072625018499,0.47172758867327214,1.6517623092363317e-4,0.40910032421501696,degree+betweenness+closeness+eigenvector+MCC,21,FALSE
CCL2,51,0.0397196261682243,0.017485280463463756,0.3200398803589232,0.5649794867409669,0.24705882352941178,7,5025034.000000015,2.3961849328721145,Up,154,0.423728813559322,0.1425053134457719,0.864592778591523,0.5649794866740061,0.009429535589639972,0.40104718557205266,degree+betweenness+closeness+eigenvector+MCC,22,FALSE
ITGAM,52,0.040498442367601244,0.01884011002219297,0.32212744606121424,0.5015519794893304,0.22322775263951736,7,578394.0000000002,1.6670203946795792,Up,154,0.4322033898305085,0.1535471958642857,0.8729375401926862,0.5015519794126064,0.001085361504750042,0.3922650933609674,degree+betweenness+closeness+eigenvector+MCC,23,FALSE
