from,to,score
A2M,CFB,0.726
A2M,CLU,0.896
A2M,CP,0.889
A2M,FN1,0.851
A2M,IL6,0.95
A2M,MMP1,0.796
A2M,MMP2,0.953
A2M,MMP3,0.877
A2M,SERPINA1,0.98
A2M,SERPINE1,0.804
A2M,SERPINF1,0.88
A2M,SERPINA3,0.929
A2M,SERPING1,0.905
A2M,TIMP1,0.736
AASS,SOD2,0.794
AASS,ODC1,0.813
ABAT,ALDH3A1,0.942
ABAT,AOX1,0.905
ABCA1,CD36,0.831
ABCA1,HMGCS1,0.755
ABCA1,LPA,0.74
ABCA1,PLTP,0.829
ABCA1,PPARG,0.82
ABCA1,SCARB1,0.934
ABCA1,SCARB2,0.83
ABCA1,SNTB1,0.75
ABCA1,SNTB2,0.83
ABCA1,GULP1,0.829
ABCA1,INS-IGF2,0.75
ABCA6,FOXO3,0.764
ABCA6,ABCA9,0.79
ABCB1,P2RY12,0.705
ABCC1,ABCG2,0.971
ABCC4,SLCO2B1,0.713
ABCC9,LDB3,0.7
ABCC9,EYA4,0.715
ABCC9,KCNJ8,0.999
ABCG2,ALDH1A1,0.738
ABCG2,CFTR,0.733
ABCG2,SLC47A1,0.752
ABCG2,SLCO2B1,0.775
ABCG2,SLC47A2,0.72
ABHD6,MGLL,0.904
ABL1,CCND2,0.71
ABL1,ENAH,0.963
ABL1,EPHA1,0.945
ABL1,EPHA2,0.951
ABL1,EPHB3,0.943
ABL1,EVPL,0.96
ABL1,FBXW7,0.718
ABL1,FN1,0.963
ABL1,FYN,0.949
ABL1,GRB10,0.79
ABL1,IKZF1,0.845
ABL1,NTRK2,0.91
ABL1,NTRK3,0.915
ABL1,PIK3R1,0.832
ABL1,RAC2,0.94
ABL1,RUNX2,0.823
ABL1,SHC1,0.991
ABL1,SHC3,0.912
ABL1,SNCA,0.823
ABL1,EPHA3,0.958
ACKR1,ACKR4,0.747
ACKR1,CCL2,0.994
ACKR1,CCL5,0.993
ACKR1,CXCL1,0.993
ACKR1,CXCL8,0.999
ACKR1,GYPC,0.877
ACKR3,AVPR1A,0.767
ACKR3,CCL21,0.904
ACKR3,CXCL12,0.999
ACKR3,CXCR4,0.996
ACKR4,CCL19,0.999
ACKR4,CCL2,0.812
ACKR4,CCL21,0.999
ACKR4,CCL5,0.94
ACKR4,CXCL12,0.865
ACSL4,ACSL5,0.739
ACSL4,LPL,0.905
ACSL4,MGLL,0.868
ACSL5,LIPG,0.785
ACSL5,LPL,0.905
ACSL5,MGLL,0.867
ACTA2,ACTG2,0.988
ACTA2,CALD1,0.748
ACTA2,CCN2,0.727
ACTA2,COL1A1,0.928
ACTA2,COL1A2,0.814
ACTA2,COL3A1,0.882
ACTA2,FBN1,0.721
ACTA2,LMOD1,0.773
ACTA2,MYH10,0.959
ACTA2,MYH11,0.997
ACTA2,MYH14,0.907
ACTA2,MYL9,0.97
ACTA2,MYLK,0.89
ACTA2,PDGFRB,0.781
ACTA2,POSTN,0.73
ACTA2,TAGLN,0.954
ACTA2,TPM1,0.838
ACTA2,VIM,0.776
ACTA2,TPM2,0.824
ACTG2,CALD1,0.733
ACTG2,LMOD1,0.86
