"","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"LAMB3","LAMB3",-2.11115031801425,10.5220085793309,-15.5729961808994,8.3432600002437e-11,2.00254926525849e-06,14.3371990098351,"Down"
"PTHLH","PTHLH",-3.7586455461264,4.48244948395766,-13.8882535587104,4.32127481798665e-10,2.86299917647708e-06,12.9831560897845,"Down"
"XM_006719115","XM_006719115",-3.7586455461264,4.48244948395766,-13.8882535587104,4.32127481798665e-10,2.86299917647708e-06,12.9831560897845,"Down"
"PLPP3","PLPP3",2.98013190196459,9.59671384890955,13.406725115274,7.1381436990277e-10,2.86299917647708e-06,12.5577240790355,"Up"
"MFAP5","MFAP5",3.32368821676491,4.70749465367828,13.4042453118987,7.15690153273165e-10,2.86299917647708e-06,12.5554853988917,"Up"
"XR_242903","XR_242903",3.32368821676491,4.70749465367828,13.4042453118987,7.15690153273165e-10,2.86299917647708e-06,12.5554853988917,"Up"
"PMP22","PMP22",3.07066560222327,9.59620177397039,13.0631952683181,1.03088862769712e-09,3.53476983456946e-06,12.2427920897117,"Up"
"PRR16","PRR16",1.88033346340096,3.77916808890541,12.7926422765713,1.38499200975656e-09,3.69361980201966e-06,11.9877926708027,"Up"
"XM_005272012","XM_005272012",1.88033346340096,3.77916808890541,12.7926422765713,1.38499200975656e-09,3.69361980201966e-06,11.9877926708027,"Up"
"ABI3BP","ABI3BP",3.32014322924231,9.91853700610743,11.4409566410532,6.57704319071678e-09,1.16947710960298e-05,10.6148498467502,"Up"
"DOCK10","DOCK10",1.91395782517927,4.52203558638106,11.4311543095232,6.65534095890924e-09,1.16947710960298e-05,10.6042536636039,"Up"
"XM_006712616","XM_006712616",1.91395782517927,4.52203558638106,11.4311543095232,6.65534095890924e-09,1.16947710960298e-05,10.6042536636039,"Up"
"XM_006712618","XM_006712618",1.91395782517927,4.52203558638106,11.4311543095232,6.65534095890924e-09,1.16947710960298e-05,10.6042536636039,"Up"
"CXCL12","CXCL12",4.02444631278207,6.13809045249661,11.410764944319,6.82138135757094e-09,1.16947710960298e-05,10.582182010095,"Up"
