"gene","logFC","direction","degree","degree_norm","betweenness","closeness","eigenvector","clustering_coeff","module","module_sz","MCC","degree_n","betweenness_n","closeness_n","eigenvector_n","MCC_n","hub_score","hub_rank","is_hub"
"LAMB3",0.658087911973245,"Up",3,0.75,0.833333333333333,0.8,1,0,1,3,6,1,1,1,1,1,1,1,TRUE
"ITGA10",2.67964085231023,"Up",2,0.5,0.5,0.666666666666667,0.76536686473018,0,2,2,4,0.5,0.6,0.625,0.599456183689829,0.5,0.564891236737966,2,TRUE
"MMP7",-2.12282781345117,"Down",1,0.25,0,0.5,0.541196100146197,0,1,3,2,0,0,0.15625,0.216772751324739,0,0.0746045502649478,3.5,TRUE
"COL17A1",1.40743914794612,"Up",1,0.25,0,0.5,0.541196100146197,0,1,3,2,0,0,0.15625,0.216772751324739,0,0.0746045502649478,3.5,TRUE
"THBS4",2.8365021858353,"Up",1,0.25,0,0.444444444444444,0.414213562373095,0,2,2,2,0,0,0,0,0,0,5,TRUE
