gene,module,C1,C2,C3,C1_logFC,C2_logFC,C3_logFC
CTSF,SHARED C2 & C3,NS,UP,UP,0.0116493284574268,0.652351017644722,1.39326973228745
SYNPR,SHARED C2 & C3,DOWN,UP,UP,-2.47582926386955,3.13367856140382,1.71654494351626
MATN2,SHARED C2 & C3,NS,UP,UP,-0.988318372377506,1.83868217336519,2.33475318764387
CPXM2,SHARED C2 & C3,NS,UP,UP,-0.911774193811638,2.71764146737017,3.18195658278753
GHR,SHARED C2 & C3,NS,UP,UP,0.955088469514465,1.37159418007693,1.56824876649108
SNAI1,SHARED C2 & C3,NS,UP,UP,0.912116470033918,1.09158832406043,1.18208588550161
ROBO2,SHARED C2 & C3,NS,UP,UP,-0.3552492114551,1.5845587416237,1.79887266994789
XM_006713279,SHARED C2 & C3,NS,UP,UP,-0.3552492114551,1.5845587416237,1.79887266994789
STON1,SHARED C2 & C3,NS,UP,UP,0.295303989775229,1.44215836430251,1.4496458527621
MGARP,SHARED C2 & C3,DOWN,UP,UP,-1.698550104208,2.70471016466126,2.67042687089446
TNC,SHARED C1 & C2,UP,UP,NS,4.0516368819014,3.09189586318585,1.17205597704967
SERPINA3,SHARED C1 & C2,UP,UP,NS,3.53473535456677,2.51165912060562,0.535448547662995
PWWP3B,SHARED C1 & C2,UP,UP,NS,1.59761906861983,2.2515025218665,0.635598889984016
SLC26A4,SHARED C1 & C2,UP,UP,NS,2.21514922729172,2.38822579308711,0.967827947279638
XM_005250425,SHARED C1 & C2,UP,UP,NS,2.21514922729172,2.38822579308711,0.967827947279638
XM_006716024,SHARED C1 & C2,UP,UP,NS,2.21514922729172,2.38822579308711,0.967827947279638
XM_006716025,SHARED C1 & C2,UP,UP,NS,2.21514922729172,2.38822579308711,0.967827947279638
SAA2,SHARED C1 & C2,UP,UP,NS,2.89736325105827,4.36863964533906,-1.35508701492566
SAA2-SAA4,SHARED C1 & C2,UP,UP,NS,2.56157662187075,4.1649913242426,-0.203278131960078
