contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C2,Up,GO_BP,GO:0031589,cell-substrate adhesion,12/77,352/16355,8.573881659789494e-8,1.4995719022971825e-4,1.2364439867275376e-4,12,HACD1/FZD7/CDH11/ANGPT1/COL17A1/ABI3BP/ITGA10/ITGBL1/COL8A1/MYOC/STON1/SPOCK1
C2,Up,GO_BP,GO:0001704,formation of primary germ layer,7/77,124/16355,1.8815442071318147e-6,0.001645410409136772,0.0013566924019845189,7,WNT3/BMP4/FZD7/SNAI1/LAMB3/GJA1/COL8A1
C2,Up,GO_BP,GO:0007369,gastrulation,8/77,192/16355,3.2833892241483668e-6,0.0019142159176784978,0.001578330960380092,8,PLPP3/WNT3/BMP4/FZD7/SNAI1/LAMB3/GJA1/COL8A1
C2,Up,GO_BP,GO:0001503,ossification,11/77,426/16355,4.6864598685048186e-6,0.002049154577503732,0.0016895921104872636,11,WNT3/TNC/BMP4/SUCO/CDH11/SNAI1/FGF18/GRP/GJA1/MYOC/MN1
C2,Up,GO_BP,GO:0043410,positive regulation of MAPK cascade,11/77,454/16355,8.567438607085374e-6,0.002996890024758464,0.002471029661411992,11,BMP4/NTRK3/FZD7/ANGPT1/JCAD/GHR/GPR37/NKD1/FGF18/MYOC/MTURN
C2,Up,GO_BP,GO:0003180,aortic valve morphogenesis,4/77,39/16355,3.2961047608714183e-05,0.009608145377940185,0.00792221670595411,4,BMP4/CDH11/SNAI1/ROBO2
C2,Up,GO_BP,GO:0021953,central nervous system neuron differentiation,7/77,197/16355,3.899872034581828e-5,0.009744108840690883,0.008034322838161058,7,WNT3/CDH11/ADARB1/LRP6/ROBO2/SPOCK1/NANOS1
C2,Up,GO_BP,GO:0051216,cartilage development,7/77,204/16355,4.8689288530644026e-5,0.01064469570501205,0.008776884906181883,7,ZEB1/BMP4/SNAI1/CYTL1/GHR/TGFBI/FGF18
C2,Up,GO_BP,GO:0003176,aortic valve development,4/77,45/16355,5.844446801030715e-5,0.011357708283336357,0.00936478610223635,4,BMP4/CDH11/SNAI1/ROBO2
C2,Up,GO_BP,GO:1905314,semi-lunar valve development,4/77,49/16355,8.193409477730805e-5,0.01433027317655118,0.01181575893104337,4,BMP4/CDH11/SNAI1/ROBO2
C2,Up,GO_BP,GO:0001649,osteoblast differentiation,7/77,235/16355,1.1833049628170753e-4,0.018814548908791497,0.015513184679994192,7,WNT3/TNC/BMP4/SUCO/SNAI1/GJA1/MYOC
C2,Up,GO_BP,GO:0003179,heart valve morphogenesis,4/77,61/16355,1.9336685968296963e-4,0.028183219798792822,0.02323794717242705,4,BMP4/CDH11/SNAI1/ROBO2
C2,Up,GO_BP,GO:0003401,axis elongation,3/77,28/16355,3.0199786499108795e-4,0.03714508019238168,0.03062728167287346,3,TNC/BMP4/NKD1
C2,Up,GO_BP,GO:0001707,mesoderm formation,4/77,69/16355,3.113464023739614e-4,0.03714508019238168,0.03062728167287346,4,WNT3/BMP4/SNAI1/GJA1
C2,Up,GO_BP,GO:2000242,negative regulation of reproductive process,4/77,70/16355,3.290443825576358e-4,0.03714508019238168,0.03062728167287346,4,BMP4/SNAI1/GJA1/PTGDS
C2,Up,GO_BP,GO:0048332,mesoderm morphogenesis,4/77,71/16355,3.474519234515472e-4,0.03714508019238168,0.03062728167287346,4,WNT3/BMP4/SNAI1/GJA1
C2,Up,GO_BP,GO:0061448,connective tissue development,7/77,282/16355,3.610442328590558e-4,0.03714508019238168,0.03062728167287346,7,ZEB1/BMP4/SNAI1/CYTL1/GHR/TGFBI/FGF18
C2,Up,GO_BP,GO:0003170,heart valve development,4/77,74/16355,4.0709601106297315e-4,0.03955616240828556,0.03261529445358323,4,BMP4/CDH11/SNAI1/ROBO2
C2,Up,GO_BP,GO:0007162,negative regulation of cell adhesion,7/77,291/16355,4.359781330639268e-4,0.04013293445941095,0.03309086106911799,7,TNC/BMP4/FZD7/ANGPT1/TGFBI/MYOC/SPOCK1
C2,Up,GO_BP,GO:0031128,developmental induction,3/77,33/16355,4.945244966717034e-4,0.043246167233940466,0.035657818970538616,3,WNT3/BMP4/ROBO2
C2,Up,GO_BP,GO:0010810,regulation of cell-substrate adhesion,6/77,217/16355,5.510820818426068e-4,0.04589726481631998,0.037843731936058715,6,HACD1/FZD7/ABI3BP/COL8A1/MYOC/SPOCK1
