contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C2,Up,KEGG,hsa05224,Breast cancer,5/40,145/8021,7.12222730906274e-4,0.019048007947442335,0.016169786033482455,5,WNT3/FZD7/SHC3/LRP6/FGF18
C2,Up,KEGG,hsa05226,Gastric cancer,5/40,146/8021,7.347976421246334e-4,0.019048007947442335,0.016169786033482455,5,WNT3/FZD7/SHC3/LRP6/FGF18
C2,Up,KEGG,hsa04390,Hippo signaling pathway,5/40,154/8021,9.352554826643282e-4,0.019048007947442335,0.016169786033482455,5,WNT3/BMP4/FZD7/DLG2/NKD1
C2,Up,KEGG,hsa04512,ECM-receptor interaction,4/40,89/8021,9.541914384654037e-4,0.019048007947442335,0.016169786033482455,4,TNC/ITGA10/LAMB3/THBS4
C2,Up,KEGG,hsa05165,Human papillomavirus infection,7/40,327/8021,0.0010240864487872222,0.019048007947442335,0.016169786033482455,7,WNT3/TNC/FZD7/DLG2/ITGA10/LAMB3/THBS4
C2,Up,KEGG,hsa04151,PI3K-Akt signaling pathway,7/40,358/8021,0.0017330425247430508,0.026862159133517288,0.02280319111504014,7,TNC/ANGPT1/ITGA10/LAMB3/THBS4/GHR/FGF18
C2,Up,KEGG,hsa04510,Focal adhesion,5/40,202/8021,0.003097540455995229,0.04115303748679376,0.03493466679693868,5,TNC/SHC3/ITGA10/LAMB3/THBS4
C2,Up,KEGG,hsa05217,Basal cell carcinoma,3/40,62/8021,0.0035450722270185114,0.041211464639090194,0.034984265398208994,3,WNT3/BMP4/FZD7
