contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C3,Down,GO_BP,GO:0008544,epidermis development,38/408,358/16355,4.4767369967710416e-14,1.6613170995017335e-10,1.5470660589894031e-10,38,FZD3/PKP1/GSDME/COL17A1/CLDN1/LAMB3/IRF6/ESRP1/SPINT1/SFN/KRT7/PTHLH/STS/TRIM16/ST14/SCEL/KLK5/KRT5/CALML5/MET/SLC39A2/PLS1/KRT80/EREG/PLAAT4/KRT16/KLK7/LAMC2/SLC44A4/CSTA/FERMT1/IL1A/KRT14/LAMA3/KRT17/OPN3/CDH3/KLF7
C3,Down,GO_BP,GO:0009913,epidermal cell differentiation,25/408,219/16355,2.419177342611451e-10,3.40108355137643e-7,3.167186401500184e-7,25,PKP1/GSDME/IRF6/ESRP1/SFN/KRT7/TRIM16/ST14/SCEL/KLK5/KRT5/SLC39A2/PLS1/KRT80/EREG/PLAAT4/KRT16/SLC44A4/CSTA/IL1A/KRT14/KRT17/OPN3/CDH3/KLF7
C3,Down,GO_BP,GO:0043588,skin development,29/408,293/16355,2.7494612379760956e-10,3.40108355137643e-7,3.167186401500184e-7,29,FZD3/PKP1/CLDN1/ITGA6/IRF6/SFN/KRT7/TRIM16/ST14/SCEL/ITGB4/ITGA3/KLK5/KRT5/MET/SLC39A2/KRT80/EREG/PLAAT4/KRT16/ITGA2/CSTA/FERMT1/IL1A/KRT14/KRT17/OPN3/CDH3/ITGB6
C3,Down,GO_BP,GO:0030216,keratinocyte differentiation,20/408,151/16355,1.1472349772610311e-9,1.0643472501539216e-6,9.91150639565254e-7,20,PKP1/IRF6/SFN/KRT7/TRIM16/ST14/SCEL/KLK5/KRT5/SLC39A2/KRT80/EREG/PLAAT4/KRT16/CSTA/IL1A/KRT14/KRT17/OPN3/CDH3
C3,Down,GO_BP,GO:0007160,cell-matrix adhesion,19/408,233/16355,6.395249420932978e-6,0.004032599719975784,0.003755272342730857,19,RHOD/COL17A1/PRKCZ/ITGA6/EPHA1/CDK6/PTK2/ITGB4/ITGA5/CEACAM6/ITGA3/MAP4K4/RASA1/MSLN/ITGB8/ITGA2/PLAU/FERMT1/ITGB6
C3,Down,GO_BP,GO:0038127,ERBB signaling pathway,14/408,134/16355,6.519967210955189e-6,0.004032599719975784,0.003755272342730857,14,AREG/CBLC/TGFA/AGR2/GRB7/NRG1/FAM83A/PTK2/AFAP1L2/CEACAM1/MMP9/EREG/SH3TC2/MAPK1
C3,Down,GO_BP,GO:0031424,keratinization,9/408,58/16355,1.2364114898448158e-5,0.006554747198305873,0.006103968302497038,9,SFN/KRT7/KLK5/KRT5/KRT80/KRT16/IL1A/KRT17/CDH3
C3,Down,GO_BP,GO:0007229,integrin-mediated signaling pathway,12/408,109/16355,1.7474657920500173e-5,0.008106056942872019,0.007548592362237116,12,ITGA6/PTK2/ITGB4/ITGA5/ITGA3/CEACAM1/SEMA7A/ITGB8/ITGA2/FERMT1/FYB1/ITGB6
C3,Down,GO_BP,GO:0016126,sterol biosynthetic process,9/408,65/16355,3.1821097734372576e-5,0.013120899299139625,0.012218557176835693,9,DHCR7/HMGCR/EBP/MSMO1/SEC14L2/CYB5R2/CYP51A1/MAPK1/FDPS
C3,Down,GO_BP,GO:0019058,viral life cycle,21/408,313/16355,4.12201140987578e-5,0.01529678434204902,0.014244803640654932,21,F11R/CLDN1/ITCH/OAS2/NECTIN1/TMPRSS4/ARK2N/OAS1/CHMP4C/ITGA5/VAMP8/IFI27/JPT2/CAV2/TMPRSS2/ITGA2/APOBEC3G/IFIH1/SERPINB3/HMGA2/ITGB6
C3,Down,GO_BP,GO:0033627,cell adhesion mediated by integrin,10/408,88/16355,6.663296224749449e-5,0.0215911710726254,0.02010631681953487,10,ITGA6/PTK2/ITGB4/ITGA5/ITGA3/ITGB8/ITGA2/PLAU/FERMT1/ITGB6
C3,Down,GO_BP,GO:0051546,keratinocyte migration,5/408,19/16355,8.211249760203849e-5,0.0215911710726254,0.02010631681953487,5,HAS2/MAP4K4/MMP9/KRT16/FERMT1
C3,Down,GO_BP,GO:0006695,cholesterol biosynthetic process,8/408,58/16355,9.010267358814338e-5,0.0215911710726254,0.02010631681953487,8,DHCR7/HMGCR/EBP/MSMO1/SEC14L2/CYP51A1/MAPK1/FDPS
C3,Down,GO_BP,GO:0043616,keratinocyte proliferation,8/408,58/16355,9.010267358814338e-5,0.0215911710726254,0.02010631681953487,8,AREG/IRF6/SFN/HAS2/EREG/FERMT1/KLK8/CDH3
C3,Down,GO_BP,GO:1902653,secondary alcohol biosynthetic process,8/408,58/16355,9.010267358814338e-5,0.0215911710726254,0.02010631681953487,8,DHCR7/HMGCR/EBP/MSMO1/SEC14L2/CYP51A1/MAPK1/FDPS
C3,Down,GO_BP,GO:0046470,phosphatidylcholine metabolic process,9/408,75/16355,1.0038902974456352e-4,0.0215911710726254,0.02010631681953487,9,MBOAT2/CDS1/PLAAT2/PLA2G7/SLC44A3/PLAAT4/RAB38/LPCAT4/SLC44A4
C3,Down,GO_BP,GO:0002064,epithelial cell development,16/408,215/16355,1.0223774115617402e-4,0.0215911710726254,0.02010631681953487,16,MARVELD2/F11R/CLDN1/SPINT2/CCDC88C/WNT7A/SFN/CDK6/TJP2/MYO1E/ST14/RAB25/MET/YIPF6/IL1B/IL1A
C3,Down,GO_BP,GO:0007173,epidermal growth factor receptor signaling pathway,11/408,112/16355,1.116486078737798e-4,0.0215911710726254,0.02010631681953487,11,AREG/CBLC/TGFA/AGR2/GRB7/FAM83A/PTK2/AFAP1L2/CEACAM1/MMP9/EREG
C3,Down,GO_BP,GO:0030574,collagen catabolic process,7/408,45/16355,1.1429721550668192e-4,0.0215911710726254,0.02010631681953487,7,MMP1/MMP10/MMP28/MMP9/PRSS2/MMP7/KLK6
C3,Down,GO_BP,GO:0061041,regulation of wound healing,12/408,132/16355,1.1636308850781677e-4,0.0215911710726254,0.02010631681953487,12,CLDN1/DUOX1/OCLN/ADTRP/PTK2/ST3GAL4/CEACAM1/PLAU/FERMT1/PLAT/UBASH3B/EPHB2
C3,Down,GO_BP,GO:0010634,positive regulation of epithelial cell migration,7/408,46/16355,1.3195396319444153e-4,0.02331815035307488,0.021714529381822133,7,PTK2/HAS2/ITGA3/MAP4K4/RAB25/MMP9/ITGA2
C3,Down,GO_BP,GO:0046718,symbiont entry into host cell,13/408,155/16355,1.388816597626503e-4,0.02342681088087251,0.02181571717707086,13,F11R/CLDN1/ITCH/NECTIN1/TMPRSS4/ITGA5/VAMP8/JPT2/CAV2/TMPRSS2/ITGA2/SERPINB3/ITGB6
C3,Down,GO_BP,GO:0036152,phosphatidylethanolamine acyl-chain remodeling,4/408,12/16355,1.6114996060130808e-4,0.024624862443187838,0.022931377101075234,4,MBOAT2/PLAAT2/PLAAT4/LPCAT4
C3,Down,GO_BP,GO:0030856,regulation of epithelial cell differentiation,13/408,158/16355,1.6829397564720828e-4,0.024624862443187838,0.022931377101075234,13,PKP1/F11R/ESRP1/SFN/TRIM16/XDH/CD24/CEACAM1/MMP9/IL1B/PLAAT4/IL1A/KLF7
C3,Down,GO_BP,GO:0022617,extracellular matrix disassembly,8/408,64/16355,1.8266452955705817e-4,0.024624862443187838,0.022931377101075234,8,MMP1/CTSV/MMP10/KLK5/MMP9/PRSS2/KLK7/MMP7
C3,Down,GO_BP,GO:0090303,positive regulation of wound healing,8/408,64/16355,1.8266452955705817e-4,0.024624862443187838,0.022931377101075234,8,CLDN1/DUOX1/OCLN/PTK2/ST3GAL4/PLAU/FERMT1/PLAT
C3,Down,GO_BP,GO:0044409,symbiont entry into host,13/408,160/16355,1.907484347113624e-4,0.024624862443187838,0.022931377101075234,13,F11R/CLDN1/ITCH/NECTIN1/TMPRSS4/ITGA5/VAMP8/JPT2/CAV2/TMPRSS2/ITGA2/SERPINB3/ITGB6
C3,Down,GO_BP,GO:0030198,extracellular matrix organization,20/408,326/16355,2.1031462695562565e-4,0.024624862443187838,0.022931377101075234,20,MMP1/COL17A1/CTSV/MMP10/SERPINB5/SPINT2/SPINT1/MMP28/MYO1E/ADTRP/HAS2/KLK5/MMP9/ERO1A/CAV2/PRSS2/KLK7/ITGA2/FERMT1/MMP7
C3,Down,GO_BP,GO:0042060,wound healing,24/408,430/16355,2.132023916437152e-4,0.024624862443187838,0.022931377101075234,24,F11R/CLDN1/NRG1/WNT7A/DUOX1/OCLN/CHMP4C/ADTRP/PTK2/ITGA5/ST3GAL4/CEACAM1/VAV2/EREG/DCBLD2/RHOC/ITGA2/PLAU/FERMT1/IL1A/PLAT/UBASH3B/ITGB6/EPHB2
C3,Down,GO_BP,GO:0031589,cell-substrate adhesion,21/408,352/16355,2.1556232221805463e-4,0.024624862443187838,0.022931377101075234,21,RHOD/AGR2/COL17A1/PRKCZ/ITGA6/EPHA1/CDK6/PTK2/ITGB4/ITGA5/CEACAM6/HAS2/ITGA3/MAP4K4/RASA1/MSLN/ITGB8/ITGA2/PLAU/FERMT1/ITGB6
C3,Down,GO_BP,GO:0038128,ERBB2 signaling pathway,5/408,23/16355,2.1884806355720375e-4,0.024624862443187838,0.022931377101075234,5,AREG/TGFA/NRG1/EREG/MAPK1
C3,Down,GO_BP,GO:0043062,extracellular structure organization,20/408,327/16355,2.1897614137030415e-4,0.024624862443187838,0.022931377101075234,20,MMP1/COL17A1/CTSV/MMP10/SERPINB5/SPINT2/SPINT1/MMP28/MYO1E/ADTRP/HAS2/KLK5/MMP9/ERO1A/CAV2/PRSS2/KLK7/ITGA2/FERMT1/MMP7
C3,Down,GO_BP,GO:0045229,external encapsulating structure organization,20/408,327/16355,2.1897614137030415e-4,0.024624862443187838,0.022931377101075234,20,MMP1/COL17A1/CTSV/MMP10/SERPINB5/SPINT2/SPINT1/MMP28/MYO1E/ADTRP/HAS2/KLK5/MMP9/ERO1A/CAV2/PRSS2/KLK7/ITGA2/FERMT1/MMP7
