contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C3,Up,GO_BP,GO:0030198,extracellular matrix organization,66/726,326/16355,7.763387669810403e-26,1.4615925137201366e-22,1.1904032594772012e-22,66,MMP2/ADAMTS1/NID1/POSTN/CTSK/COL3A1/COL4A1/COL14A1/LAMA2/PDGFRA/FBLN1/DDR2/COL4A2/ADAMTS5/ADAMTSL1/COL1A1/AEBP1/FBLN5/ENG/RECK/CSGALNACT1/TNXB/ANTXR1/GPM6B/DPT/HMCN1/MFAP4/COL6A1/ITGA8/ADAMTS2/NID2/AXIN2/COL1A2/CRISPLD2/SMOC2/FMOD/MMP27/ABI3BP/PTX3/COL15A1/COL16A1/TNFRSF1B/FOXF2/ECM2/COL24A1/TIE1/COL5A1/OLFML2B/MYH11/COL13A1/MATN2/RGCC/FKBP10/TGFBR3/CCN1/LUM/TPSAB1/EMILIN1/TNFRSF11B/LRP1/COL8A2/COL8A1/LOXL1/ANGPTL7/VIT/SULF1
C3,Up,GO_BP,GO:0043062,extracellular structure organization,66/726,327/16355,9.333285528225649e-26,1.4615925137201366e-22,1.1904032594772012e-22,66,MMP2/ADAMTS1/NID1/POSTN/CTSK/COL3A1/COL4A1/COL14A1/LAMA2/PDGFRA/FBLN1/DDR2/COL4A2/ADAMTS5/ADAMTSL1/COL1A1/AEBP1/FBLN5/ENG/RECK/CSGALNACT1/TNXB/ANTXR1/GPM6B/DPT/HMCN1/MFAP4/COL6A1/ITGA8/ADAMTS2/NID2/AXIN2/COL1A2/CRISPLD2/SMOC2/FMOD/MMP27/ABI3BP/PTX3/COL15A1/COL16A1/TNFRSF1B/FOXF2/ECM2/COL24A1/TIE1/COL5A1/OLFML2B/MYH11/COL13A1/MATN2/RGCC/FKBP10/TGFBR3/CCN1/LUM/TPSAB1/EMILIN1/TNFRSF11B/LRP1/COL8A2/COL8A1/LOXL1/ANGPTL7/VIT/SULF1
C3,Up,GO_BP,GO:0045229,external encapsulating structure organization,66/726,327/16355,9.333285528225649e-26,1.4615925137201366e-22,1.1904032594772012e-22,66,MMP2/ADAMTS1/NID1/POSTN/CTSK/COL3A1/COL4A1/COL14A1/LAMA2/PDGFRA/FBLN1/DDR2/COL4A2/ADAMTS5/ADAMTSL1/COL1A1/AEBP1/FBLN5/ENG/RECK/CSGALNACT1/TNXB/ANTXR1/GPM6B/DPT/HMCN1/MFAP4/COL6A1/ITGA8/ADAMTS2/NID2/AXIN2/COL1A2/CRISPLD2/SMOC2/FMOD/MMP27/ABI3BP/PTX3/COL15A1/COL16A1/TNFRSF1B/FOXF2/ECM2/COL24A1/TIE1/COL5A1/OLFML2B/MYH11/COL13A1/MATN2/RGCC/FKBP10/TGFBR3/CCN1/LUM/TPSAB1/EMILIN1/TNFRSF11B/LRP1/COL8A2/COL8A1/LOXL1/ANGPTL7/VIT/SULF1
C3,Up,GO_BP,GO:0031589,cell-substrate adhesion,62/726,352/16355,5.377794293282563e-21,6.31621939746037e-18,5.144284804232136e-18,62,NID1/POSTN/HACD1/COL3A1/FERMT2/FBLN1/DAB2/COL1A1/SGCE/FBLN5/DLC1/LIMCH1/TNXB/CSF1/ANTXR1/VCAM1/SVEP1/GPM6B/FZD7/CDH11/FZD4/ANGPT1/ITGA8/PEAK1/FBLN2/NID2/TEK/ACVRL1/PREX1/BCL2/ABI3BP/PIK3R1/LIMS2/SNED1/SMAD6/COL16A1/EPHA3/ITGA10/ITGA7/CCN2/ITGAM/ECM2/ITGB2/APOD/FAM107A/COL13A1/TNN/CCN1/VWF/ITGA11/EPDR1/EDIL3/EMILIN1/ITGBL1/BST1/COL8A1/MYOC/STON1/SPOCK1/SORBS1/VIT/BCL6
C3,Up,GO_BP,GO:0001503,ossification,63/726,426/16355,2.419574675597876e-17,2.2734323651917646e-14,1.851611357010164e-14,63,MMP2/CTSK/FERMT2/PRKD1/DDR2/COL1A1/SLC8A1/CSGALNACT1/MEF2C/BMP4/IGFBP5/CSF1/ASPN/GPM6B/OSR2/RORB/NPR2/CTHRC1/DCHS1/TWIST1/CDH11/SRGN/COL6A1/IGSF10/GPC3/TEK/AXIN2/COL1A2/BCL2/CHRDL1/SMAD6/ID4/SNAI1/CCN2/PTN/CHRD/RUNX3/CCN3/FGF2/COL13A1/CLEC3B/IL6ST/PENK/ENPP1/TNN/CCN1/RFLNB/ITGA11/BMP7/FGF18/PBX1/MGP/GRP/S1PR1/ZBTB16/GJA1/CRIM1/TENT5A/JUND/MYOC/LRP4/TMT1A/BAMBI
C3,Up,GO_BP,GO:0072001,renal system development,54/726,330/16355,5.925245425798062e-17,4.639467168399883e-14,3.7786433548729753e-14,54,ADAMTS1/NID1/COL4A1/PDGFRA/PLXND1/WNT2B/FBN1/PDGFRB/MEF2C/PDGFD/KANK2/BMP4/ACTA2/TNS2/OSR2/DCHS1/ANGPT1/ITGA8/BICC1/GPC3/PKD2/GFRA1/AGTR1/TEK/PECAM1/SERPINF1/LRRK2/PODXL/BCL2/IRX3/SMAD6/TFAP2B/KCNJ8/CYP26B1/KLF15/ARID5B/FGFR1/SOX17/MAGI2/ENPEP/FGF2/RGN/POU3F3/AQP1/IRX1/BMP7/PBX1/ZBTB16/BMPER/EGR1/ROBO2/LRP4/EMX2/SULF1
C3,Up,GO_BP,GO:0001822,kidney development,52/726,320/16355,3.0922208020324236e-16,2.075321903992618e-13,1.690259039907949e-13,52,ADAMTS1/NID1/PDGFRA/PLXND1/WNT2B/FBN1/PDGFRB/MEF2C/PDGFD/KANK2/BMP4/ACTA2/TNS2/OSR2/DCHS1/ANGPT1/ITGA8/BICC1/GPC3/PKD2/GFRA1/AGTR1/TEK/PECAM1/SERPINF1/LRRK2/PODXL/BCL2/IRX3/SMAD6/TFAP2B/KCNJ8/CYP26B1/KLF15/ARID5B/FGFR1/SOX17/MAGI2/ENPEP/FGF2/RGN/POU3F3/AQP1/IRX1/BMP7/PBX1/ZBTB16/BMPER/EGR1/ROBO2/LRP4/SULF1
C3,Up,GO_BP,GO:0007160,cell-matrix adhesion,43/726,233/16355,1.165051676279646e-15,6.841765968952221e-13,5.572319530626991e-13,43,NID1/POSTN/COL3A1/FERMT2/SGCE/FBLN5/DLC1/LIMCH1/TNXB/CSF1/VCAM1/SVEP1/GPM6B/CDH11/ITGA8/PEAK1/NID2/TEK/ACVRL1/BCL2/PIK3R1/SNED1/COL16A1/EPHA3/ITGA10/ITGA7/CCN2/ITGAM/ECM2/ITGB2/APOD/FAM107A/COL13A1/TNN/ITGA11/EPDR1/EMILIN1/ITGBL1/BST1/MYOC/STON1/SORBS1/BCL6
C3,Up,GO_BP,GO:0061448,connective tissue development,47/726,282/16355,3.2133952162111596e-15,1.6773923028622254e-12,1.366162761511996e-12,47,CTSK/COL3A1/ZEB1/COL1A1/WNT2B/PDGFRB/CSGALNACT1/MEF2C/PDGFD/BMP4/CSF1/ACTA2/PRRX1/OSR2/NPR2/SCIN/COL6A1/AXIN2/ACVRL1/SELENOM/ID4/LPL/OGN/SNAI1/CCN2/CYTL1/GHR/ARID5B/COL5A1/FGFR1/RUNX3/CCN3/FGF2/MSX1/CCN1/RFLNB/FRZB/BMP7/FGF18/MGP/ZBTB16/MUSTN1/BGN/EGR1/SLC25A25/ERRFI1/SULF1
C3,Up,GO_BP,GO:2000146,negative regulation of cell motility,48/726,323/16355,1.4696888677420103e-13,6.904598300651964e-11,5.623493720254957e-11,48,CXCL12/COL3A1/FBLN1/ZEB2/PTPRG/ENG/CD200/IL33/RECK/DLC1/MEF2C/BMP4/IGFBP5/LIMCH1/PODN/CDH11/MEOX2/ADARB1/MITF/SERPINF1/ACVRL1/BCL2/MMRN2/CLDN5/FOXO3/CHRD/TIE1/CYGB/PTPRM/PRKG1/APOD/MAGI2/CCN3/FGF2/CITED2/RGN/RGCC/TNN/TGFBR3/CCL2/EMILIN1/GJA1/DCN/KLF4/LRP1/RHOB/DUSP1/SULF1
C3,Up,GO_BP,GO:0040013,negative regulation of locomotion,49/726,340/16355,2.6735941115462996e-13,1.1418677396404104e-10,9.300013966957704e-11,49,CXCL12/COL3A1/FBLN1/ZEB2/PTPRG/ENG/CD200/IL33/RECK/DLC1/MEF2C/BMP4/IGFBP5/LIMCH1/PODN/CDH11/MEOX2/ADARB1/MITF/SERPINF1/ACVRL1/BCL2/MMRN2/CLDN5/FOXO3/CHRD/TIE1/CYGB/PTPRM/PRKG1/APOD/MAGI2/CCN3/FGF2/CITED2/RGN/RGCC/TNN/TGFBR3/CCL2/EMILIN1/GJA1/DCN/KLF4/LRP1/RHOB/DUSP1/ROBO2/SULF1
C3,Up,GO_BP,GO:1901342,regulation of vasculature development,46/726,307/16355,3.545308230312091e-13,1.3879881721671836e-10,1.1304557383495133e-10,46,ADAMTS1/CXCL12/PRKD1/COL4A2/PLXND1/RHOJ/ENG/CCBE1/RECK/FLT1/ADGRA2/THBS2/QKI/TWIST1/GATA2/HHEX/PTGIS/JCAD/TEK/SERPINF1/SMOC2/ACVRL1/CLDN5/STAB1/THBS4/KLF2/TIE1/PTPRM/PPP1R16B/FGF2/RGCC/AQP1/TNN/FGF18/DDAH1/EMILIN1/TSPAN18/DCN/KLF4/BMPER/GPNMB/SPARC/RHOB/ADM/ANGPTL7/SULF1
C3,Up,GO_BP,GO:0030336,negative regulation of cell migration,46/726,308/16355,3.9961363394146116e-13,1.444142194043834e-10,1.176190736337823e-10,46,CXCL12/COL3A1/ZEB2/PTPRG/ENG/CD200/IL33/RECK/DLC1/MEF2C/BMP4/IGFBP5/LIMCH1/PODN/CDH11/MEOX2/ADARB1/MITF/SERPINF1/ACVRL1/BCL2/MMRN2/CLDN5/FOXO3/CHRD/TIE1/CYGB/PTPRM/PRKG1/APOD/MAGI2/CCN3/FGF2/CITED2/RGCC/TNN/TGFBR3/CCL2/EMILIN1/GJA1/DCN/KLF4/LRP1/RHOB/DUSP1/SULF1
C3,Up,GO_BP,GO:0051216,cartilage development,36/726,204/16355,1.0332599062968845e-12,3.4673250284162594e-10,2.8239847814956205e-10,36,CTSK/COL3A1/ZEB1/COL1A1/WNT2B/CSGALNACT1/MEF2C/BMP4/PRRX1/OSR2/NPR2/SCIN/COL6A1/AXIN2/ACVRL1/OGN/SNAI1/CCN2/CYTL1/GHR/FGFR1/RUNX3/CCN3/FGF2/MSX1/CCN1/RFLNB/FRZB/BMP7/FGF18/MGP/ZBTB16/MUSTN1/BGN/ERRFI1/SULF1
C3,Up,GO_BP,GO:0045765,regulation of angiogenesis,44/726,300/16355,2.477581131865256e-12,7.759784105001982e-10,6.320005203038742e-10,44,ADAMTS1/PRKD1/COL4A2/PLXND1/RHOJ/ENG/CCBE1/RECK/FLT1/ADGRA2/THBS2/QKI/TWIST1/GATA2/HHEX/PTGIS/JCAD/TEK/SERPINF1/SMOC2/ACVRL1/CLDN5/STAB1/THBS4/KLF2/TIE1/PTPRM/PPP1R16B/FGF2/RGCC/AQP1/TNN/FGF18/DDAH1/EMILIN1/TSPAN18/DCN/KLF4/BMPER/GPNMB/SPARC/RHOB/ADM/SULF1
C3,Up,GO_BP,GO:0010810,regulation of cell-substrate adhesion,36/726,217/16355,6.80370057570119e-12,1.997736581540262e-9,1.6270691837285411e-9,36,NID1/POSTN/HACD1/FERMT2/FBLN1/DAB2/COL1A1/DLC1/LIMCH1/CSF1/GPM6B/FZD7/FZD4/PEAK1/FBLN2/TEK/ACVRL1/PREX1/BCL2/ABI3BP/PIK3R1/LIMS2/COL16A1/EPHA3/ECM2/APOD/FAM107A/CCN1/EDIL3/EMILIN1/BST1/COL8A1/MYOC/SPOCK1/VIT/BCL6
