contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C3,Up,KEGG,hsa04820,Cytoskeleton in muscle cells,41/383,232/8021,1.4714887149984763e-13,4.3850363706954594e-11,3.794891949206597e-11,41,NID1/COL3A1/COL4A1/LAMA2/FBLN1/COL4A2/COL1A1/SGCE/FBN1/MYL9/THBS2/TPM2/COL6A1/SYNE3/ITGA8/COL6A3/SGCD/FBLN2/NID2/COL1A2/SYNPO2/ANK2/LMOD1/PDLIM3/ITGA10/ITGA7/COL6A2/THBS4/TRIM63/COL24A1/COL5A1/SDC2/MYH11/LDB3/DAAM2/ITGA11/DCN/SSPN/ACTG2/BGN/SYNE1
C3,Up,KEGG,hsa04518,Integrin signaling,31/383,153/8021,4.008605667157696e-12,5.972822444064967e-10,5.168991518177029e-10,31,LAMA4/FERMT2/COL4A1/LAMA2/PDGFRA/COL4A2/COL1A1/FBN1/PDGFRB/FLT1/PDGFD/TNXB/VCAM1/THBS2/COL6A1/ITGA8/COL6A3/COL1A2/PIK3R1/LIMS2/ITGA10/ITGA7/COL6A2/THBS4/ITGAM/ITGB2/ARHGEF6/LAMC3/TNN/VWF/ITGA11
C3,Up,KEGG,hsa04151,PI3K-Akt signaling pathway,47/383,358/8021,1.435926742616598e-10,1.4263538976658205e-8,1.2343931647054964e-8,47,GNB4/LAMA4/COL4A1/LAMA2/PDGFRA/COL4A2/COL1A1/TLR4/PDGFRB/FLT1/PDGFD/TNXB/CSF1/THBS2/GNG11/ANGPT1/F2R/COL6A1/ITGA8/COL6A3/TEK/GNG2/COL1A2/LPAR1/CREB5/BCL2/PIK3R1/ITGA10/ITGA7/COL6A2/THBS4/FOXO3/GHR/FGFR1/MAGI2/FGF2/KIT/LAMC3/LPAR6/TNN/VWF/NR4A1/ITGA11/FGF18/NTRK2/SGK1/GNG7
C3,Up,KEGG,hsa04512,ECM-receptor interaction,20/383,89/8021,4.4144290072318566e-9,3.288749610387733e-7,2.846145017820539e-7,20,LAMA4/COL4A1/LAMA2/COL4A2/COL1A1/TNXB/THBS2/COL6A1/ITGA8/COL6A3/COL1A2/ITGA10/ITGA7/COL6A2/THBS4/SV2A/LAMC3/TNN/VWF/ITGA11
C3,Up,KEGG,hsa04610,Complement and coagulation cascades,19/383,88/8021,2.1828286555807572e-8,1.3009658787261313e-6,1.1258800434048117e-6,19,SERPING1/CFH/CFHR1/C1S/C1R/TFPI/F2RL2/F2R/CLU/A2M/MASP1/C7/ITGAM/ITGB2/C4A/C4B/C4B_2/VWF/F10
C3,Up,KEGG,hsa04510,Focal adhesion,29/383,202/8021,8.430864394079552e-8,4.187329315726177e-6,3.623792590437702e-6,29,LAMA4/COL4A1/LAMA2/PDGFRA/COL4A2/COL1A1/PDGFRB/FLT1/PDGFD/TNXB/MYL9/THBS2/MYLK/COL6A1/ITGA8/COL6A3/SHC3/COL1A2/BCL2/PIK3R1/ITGA10/ITGA7/COL6A2/THBS4/LAMC3/TNN/VWF/ITGA11/JUN
C3,Up,KEGG,hsa04974,Protein digestion and absorption,19/383,101/8021,2.2501547239042496e-7,9.579230110335233e-6,8.290043719647235e-6,19,COL3A1/COL4A1/COL14A1/COL4A2/COL1A1/SLC8A1/COL6A1/COL6A3/COL1A2/COL15A1/COL16A1/CPA3/COL6A2/KCNJ13/COL24A1/COL5A1/COL13A1/COL8A2/COL8A1
C3,Up,KEGG,hsa05144,Malaria,12/383,50/8021,2.76035143186055e-6,1.0282309083680549e-4,8.898501326392562e-5,12,TLR4/GYPC/VCAM1/THBS2/PECAM1/ACKR1/SELE/THBS4/ITGB2/SDC2/CCL2/LRP1
C3,Up,KEGG,hsa04933,AGE-RAGE signaling pathway in diabetic complications,15/383,100/8021,7.136349926970539e-5,0.002362924753596912,0.0020449189849213825,15,MMP2/COL3A1/COL4A1/COL4A2/COL1A1/VCAM1/AGTR1/COL1A2/BCL2/PIK3R1/SELE/NFATC1/CCL2/EGR1/JUN
C3,Up,KEGG,hsa04810,Regulation of actin cytoskeleton,24/383,230/8021,2.445097778892e-4,0.0072863913810981605,0.006305778482405685,24,CXCL12/PDGFRA/PDGFRB/PDGFD/MYL9/SCIN/MYLK/F2R/ITGA8/C7/LPAR1/PIK3R1/ITGA10/ITGA7/ITGAM/ITGB2/MRAS/FGFR1/ARHGEF6/MYH11/FGF2/RGCC/ITGA11/FGF18
