contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Down,KEGG,hsa00830,Retinol metabolism,10/324,64/8021,2.184335512709423e-4,0.04827178218059309,0.04753418279243462,10,CYP27C1/ALDH1A1/ADH7/UGT2A1/UGT2A2/CYP26A1/BCO1/SDR16C5/UGT2B15/CYP2C18
C1,Down,KEGG,hsa04530,Tight junction,17/324,166/8021,3.706298055649873e-4,0.04827178218059309,0.04753418279243462,17,EPB41L4B/DLG3/MARVELD2/CACNA1D/MYH14/F11R/CLDN1/CFTR/TIAM1/AFDN/PALS1/PPP2R2C/CLDN7/NEDD4L/OCLN/CLDN4/PARD6B
C1,Down,KEGG,hsa04390,Hippo signaling pathway,16/324,154/8021,4.671462791670299e-4,0.04827178218059309,0.04753418279243462,16,DLG3/WNT3/WNT7B/FZD3/MOB1A/AREG/WNT4/FZD8/PALS1/WNT10A/PPP2R2C/TGFB2/WNT7A/RASSF6/BMP7/PARD6B
