contrast,direction,source,term_id,term,gene_ratio,bg_ratio,pvalue,padj,qvalue,count,genes
C1,Up,KEGG,hsa04517,IgSF CAM signaling,54/738,295/8021,5.131545532722451e-7,1.3513069902835786e-5,9.993009721617404e-6,54,JAM2/PMP22/FYN/SLIT3/MPDZ/AKT3/JAM3/MYL9/GLDN/PIK3R3/SPTBN1/NTRK3/ICAM1/MYLK/KIRREL1/PTPRZ1/TRIO/ITGA4/ANK2/ABL1/CASK/L1CAM/NRP1/PVR/MSN/PIK3R1/NRCAM/EPB41L3/LYN/LCP2/EPB41L2/CLMP/ARPC1B/PAK3/CD84/ITGAM/MPZ/ITGB2/FGFR1/MAGI2/MYH11/ICAM2/ACTN1/PLXNA1/TUBA1A/MYH10/ROBO4/CD86/NECTIN3/PRKCA/ITGA5/NLGN1/CNTN1/NFASC
C1,Up,KEGG,hsa05146,Amoebiasis,26/738,100/8021,7.091032501032585e-7,1.723666361789459e-5,1.27466333216942e-5,26,LAMA4/PRKACB/COL3A1/IL1R1/COL4A1/LAMA2/COL4A2/COL1A1/TLR4/PIK3R3/COL1A2/CXCL1/SERPINB9/PIK3R1/FN1/TGFB3/LAMC1/ITGAM/ITGB2/IL6/LAMC3/ACTN1/CXCL2/CXCL8/PRKCA/CD14
C1,Up,KEGG,hsa04015,Rap1 signaling pathway,42/738,209/8021,7.921052025763734e-7,1.7878946001009574e-5,1.3221605636989093e-5,42,PDGFC/PRKD1/ADCY3/PDGFRA/DOCK4/VEGFC/PDGFRB/FLT1/PDGFD/AKT3/CSF1/PIK3R3/ADCY9/RAC2/ANGPT1/F2R/ADCY7/TEK/LPAR1/ARAP3/PIK3R1/ENAH/LCP2/PGF/ADCY4/ITGAM/RRAS/ITGB2/CNR1/MRAS/FGFR1/MAGI2/ANGPT2/FGF2/RASGRP3/ADCY2/SIPA1L2/IGF1/FGF18/PRKCA/THBS1/FGF5
C1,Up,KEGG,hsa05144,Malaria,17/738,50/8021,1.084216775355242e-6,2.2840833400817095e-5,1.6890956079218503e-5,17,TLR4/GYPC/VCAM1/THBS2/ICAM1/PECAM1/ACKR1/SELE/TGFB3/THBS4/ITGB2/IL6/SDC2/CCL2/CXCL8/THBS1/COMP
C1,Up,KEGG,hsa04060,Cytokine-cytokine receptor interaction,52/738,293/8021,2.2143395940964304e-6,4.37332069834045e-5,3.234101249272418e-5,52,TGFBR2/CXCL12/IL1R1/LIFR/IL33/BMP4/CSF1/OSMR/TNFRSF19/IL7/LEPR/ACKR4/CCL14/BMP2/CXCL1/ACVRL1/TNFRSF1B/CSF2RB/CCL23/IL7R/TGFB3/IL15/IL16/IL4R/IL13RA2/IL6/IL11RA/GDF15/CCL21/IL27RA/IL10RA/CCL19/CCL18/CXCL2/IL6ST/INHBA/INHBB/CCL5/CXCR4/CCL2/CXCL8/TGFBR1/CXCL6/TSLP/IL13RA1/ACKR3/CCR1/TNFRSF11B/IL17D/CCL3/CCL3L1/CCL3L3
C1,Up,KEGG,hsa04974,Protein digestion and absorption,25/738,101/8021,3.079697251342474e-6,5.7246137142601285e-5,4.233391887294298e-5,25,COL3A1/COL4A1/COL14A1/COL4A2/COL1A1/SLC8A1/COL6A1/COL6A3/COL1A2/COL15A1/COL16A1/CPA3/COL6A2/SLC1A1/KCNJ13/COL24A1/COL5A1/ATP1A2/SLC7A7/COL13A1/DPP4/KCNE3/COL11A1/COL8A2/COL8A1
C1,Up,KEGG,hsa04270,Vascular smooth muscle contraction,29/738,131/8021,5.75416068615147e-6,9.831467660631565e-5,7.27043910946105e-5,29,PRKACB/GUCY1B1/EDNRA/ADCY3/MYL9/ACTA2/GUCY1A1/ADCY9/NPR2/CALD1/MYLK/CALCRL/ADCY7/AGTR1/PLA2G4C/IRAG1/PPP1R14A/ADCY4/PRKG1/PLA2G2A/MYH11/AVPR1A/MYH10/ADCY2/GNA12/RAMP3/PRKCA/PLA2G5/ACTG2
C1,Up,KEGG,hsa04061,Viral protein interaction with cytokine and cytokine receptor,24/738,98/8021,5.91132549215189e-6,9.831467660631565e-5,7.27043910946105e-5,24,CXCL12/CSF1/ACKR4/CCL14/CXCL1/TNFRSF1B/CCL23/IL6/CCL21/IL10RA/CCL19/CCL18/CXCL2/IL6ST/CCL5/CXCR4/CCL2/CXCL8/CXCL6/ACKR3/CCR1/CCL3/CCL3L1/CCL3L3
C1,Up,KEGG,hsa04072,Phospholipase D signaling pathway,31/738,146/8021,6.89249859193482e-6,1.0890147775257015e-4,8.053340460050158e-5,31,PDGFC/PTGFR/FYN/PLPP3/SHC1/ADCY3/PDGFRA/CYTH3/PDGFRB/PDGFD/AKT3/PIK3R3/ADCY9/F2R/ADCY7/SHC3/AGTR1/LPAR1/AGPAT4/PIK3R1/PLA2G4C/ADCY4/RRAS/MRAS/FCER1G/AVPR1A/ADCY2/GNA12/CXCL8/PRKCA/PLD1
C1,Up,KEGG,hsa05150,Staphylococcus aureus infection,23/738,93/8021,7.732125699323844e-6,1.1635008195173021e-4,8.604169951127285e-5,23,CFH/C1S/C1R/C3/ICAM1/MASP1/KRT19/ITGAM/ITGB2/C3AR1/C1QB/C1QC/C1QA/CFD/CFB/HLA-DPB1/KRT13/KRT23/FCGR2A/HLA-DMA/FPR3/KRT15/HLA-DRB3
