tf,size
GLIS1,2
ZNF718,2
RBPJ,2
EPAS1,2
DRAP1,2
NPAS3,2
TBX18,2
ZNF296,2
ZNF880,2
ZBED3,2
ZMAT1,2
GRHL2,2
TP73,2
TFAP2A,2
KLF10,2
ZHX3,2
CREB3L2,2
BPTF,2
THAP2,2
MBNL2,2
HIVEP1,2
IRF9,2
RARA,2
PCGF6,2
CENPA,2
KLF11,2
ZNF846,2
E2F7,2
MXD4,2
ZNF627,2
RREB1,2
ZSCAN12,2
PRDM8,2
TFDP2,2
ARNT,2
ZNF571,2
ZSCAN9,2
ZNF655,2
ZNF710,2
POU5F1,2
POU5F1B,2
ZSCAN25,2
ZNF665,2
ZNF263,2
THAP5,2
SMYD3,2
IRF1,1
BHLHE40,1
ZIM2,1
BARX2,1
GLI2,1
TET1,1
MYRF,1
FOSL1,1
FOXD2,1
SP3,1
ZNF586,1
REL,1
ZNF107,1
ZNF654,1
ZNF300,1
ZNF207,1
LHX2,1
RORC,1
ATF7,1
LCORL,1
AHCTF1,1
STAT5A,1
TIGD2,1
ZNF678,1
IRF5,1
ZNF280A,1
TGIF1,1
NFIA,1
CXXC5,1
SETBP1,1
ZNF706,1
ZNF462,1
ZNF561,1
ZNF180,1
EBF2,1
GTF2IRD2,1
IKZF2,1
ZNF33A,1
ZNF292,1
ZNF385B,1
ZNF680,1
HIVEP2,1
ZNF234,1
ZNF577,1
ZNF569,1
NFAT5,1
ZNF669,1
ZNF416,1
HIC2,1
ZNF225,1
FOXK1,1
ZBTB47,1
ZNF682,1
SMAD3,1
ZNF215,1
ZNF493,1
THAP8,1
ASCL2,1
ZNF395,1
GPBP1L1,1
MLX,1
HOXB2,1
THAP6,1
ZNF253,1
ZNF322,1
SETDB2,1
ZNF250,1
ZNF681,1
MYNN,1
NFATC3,1
ZNF394,1
HES4,1
ZNF385A,1
AHDC1,1
PPARA,1
ELF1,1
ZNF670,1
ZNF239,1
ZNF597,1
TIGD7,1
EGR2,1
MNT,1
TSHZ1,1
MLXIP,1
RARG,1
