contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C1,Limbus vs cornea,PURB,-5.386124780251865,7.199299163227339e-8,56,5.109746479266233e-7,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TBX3,5.341054173276213,9.240763419616449e-8,29,6.402528940734254e-7,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,AEBP1,5.329783636367485,9.83298406771568e-8,241,6.654414799314564e-7,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,GTF2IRD1,5.283428722011697,1.2678820755073894e-7,98,8.332546182150188e-7,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF599,-5.280468741680339,1.2885380694046683e-7,66,8.332546182150188e-7,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,NFIX,5.225050197368668,1.741078697266153e-7,276,1.101421523705327e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,CARF,-5.216300804612231,1.8253166864930263e-7,17,1.130142884615895e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,LHX1,-5.196103140340894,2.0350937671532585e-7,32,1.2223863144412064e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,HIC1,5.193992557514824,2.058313725347736e-7,12,1.2223863144412064e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,PRRX1,5.176828336610062,2.256896964052677e-7,52,1.313514033078658e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,FOXN2,5.172603217503825,2.3085489805667824e-7,103,1.3172308889116348e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,CREBL2,-5.139635264548711,2.7527227285933545e-7,189,1.540465988501281e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF777,-5.109587751053555,3.2286251079098596e-7,30,1.7234547935231787e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TSHZ2,5.108325324313116,3.2502668372819293e-7,322,1.7234547935231787e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZFP2,-5.103222994657214,3.3391714331539264e-7,22,1.7234547935231787e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,HLF,-5.101193561438797,3.3751815704050893e-7,318,1.7234547935231787e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZBTB7C,-5.101156689065837,3.375839286282515e-7,268,1.7234547935231787e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,BHLHE41,-5.089825715666586,3.583927590709262e-7,154,1.7981429808558542e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZBTB10,-5.076441785793607,3.845685492063306e-7,123,1.887147065420505e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF521,5.074213257549726,3.8910248771556807e-7,302,1.887147065420505e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TRERF1,-5.053447961243852,4.33904579117978e-7,125,2.0699382380874035e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF503,5.028530923542228,4.942518151055883e-7,310,2.3197948096084868e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF800,-5.015889581835521,5.27886408550226e-7,18,2.43833245854152e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,HHEX,5.001375031371882,5.692285957246493e-7,362,2.5788405689409524e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,HES2,-4.999085131512538,5.760296803476354e-7,56,2.5788405689409524e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,MITF,4.986300231544928,6.154648020670306e-7,486,2.7136402636591803e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF134,-4.979585297141177,6.372066469691242e-7,87,2.7675691681793304e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,EGR4,-4.924129430929716,8.473673945492848e-7,48,3.6262339972623804e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TFE3,4.872881108561244,1.0998241570459523e-6,105,4.635125487902674e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,MEOX2,4.870177817611728,1.114978639701674e-6,414,4.635125487902674e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,GBX2,-4.860614342175472,1.1702202951416365e-6,69,4.7962550124819185e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TWIST1,4.825796449567521,1.3944487370484257e-6,150,5.593096334934405e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,RXRA,-4.8245667616281445,1.4030791493134418e-6,24,5.593096334934405e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZBTB7B,-4.783067616995426,1.7264001858989049e-6,44,6.788952082386234e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,TEAD2,4.77685450220125,1.7805851160439603e-6,300,6.908670250250566e-6,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,FOXN1,-4.766011623085596,1.879084240148115e-6,211,7.1949146563565985e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZFP64,-4.749963868322819,2.034529965395129e-6,157,7.688937921168604e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,DLX3,-4.712604066716257,2.445711085190315e-6,32,9.124383663979253e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,CEBPG,-4.709933679650018,2.477974106909324e-6,225,9.127727406463459e-6,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,BNC2,-4.682555974604347,2.8331978696170347e-6,146,1.0220391626495847e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF22,4.680543536982873,2.8611534101821405e-6,41,1.0220391626495847e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZBTB14,-4.679199375248325,2.879972898187833e-6,44,1.0220391626495847e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZBED2,-4.616630848372625,3.9002014471415166e-6,51,1.3594793796110587e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,OSR2,4.615353364206381,3.924270374135015e-6,537,1.3594793796110587e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,RUNX2,4.604265695641461,4.139237374879774e-6,313,1.4170800895176636e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,MYCN,4.597416380395857,4.277622170876484e-6,81,1.4474279671221592e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF488,-4.589827332114299,4.436128219773758e-6,105,1.4781917736047489e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,SP140L,4.588233111765341,4.470133198529825e-6,76,1.4781917736047489e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,HLX,4.580094927585717,4.6476493569512e-6,12,1.5196246773851679e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF229,-4.572698973154303,4.814816352785499e-6,371,1.5567906207339778e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF536,4.51227762479796,6.413516265970948e-6,197,2.0509156410962042e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF44,-4.509489117450608,6.4983927891343245e-6,11,2.0554698930848788e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,DLX4,-4.495449680182583,6.942307499447136e-6,11,2.1722704111173293e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,ZNF717,-4.48078733330648,7.436818591548564e-6,55,2.3022491597240767e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,SOX5,4.45996298826659,8.197380791318467e-6,100,2.5109871687091303e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,HEY2,4.454373559948285,8.413849556562286e-6,252,2.550448146832943e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,IRX3,4.443367026488784,8.856189931678307e-6,517,2.656856979503492e-5,Activated in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,SOX15,-4.4316317171625,9.352265518827348e-6,102,2.777050271406896e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,XPA,-4.427173727754045,9.54758337122605e-6,157,2.8050755525760943e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
C1,Limbus vs cornea,FOXN3,-4.423582432726231,9.707756692206465e-6,238,2.8050755525760943e-5,Repressed in limbus,NES = regulon activity; not transcript abundance
