contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C3,Limbus vs cultured limbal epithelial cells,PRRX1,4.224328298902946,2.3965448265195754e-5,52,1.85357120351438e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,CREM,-4.222090297536164,2.420470987407094e-5,11,1.85357120351438e-4,Repressed in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,NFIC,4.1831274393281515,2.8752610606779164e-5,20,2.1006681322925853e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,PRDM2,4.182160793018871,2.887516333048227e-5,19,2.1006681322925853e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ZNF362,4.109846716314013,3.959218414537518e-5,11,2.810079411293702e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,CEBPD,4.099048141654799,4.148527472161689e-5,14,2.822148978328584e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,DUX4,4.097588541371947,4.174765020295785e-5,52,2.822148978328584e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,IKZF5,4.092516601110814,4.267166840084457e-5,127,2.822148978328584e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,HHEX,4.066661378846985,4.769146307485311e-5,362,3.084047945507168e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SKI,4.061201089853005,4.882089680097453e-5,138,3.088452384583389e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,ATF4,4.024397796419857,5.712129394540409e-5,25,3.466867197559686e-4,Activated in limbus,NES = regulon activity; not transcript abundance
C3,Limbus vs cultured limbal epithelial cells,SMAD9,4.024133643133397,5.718543831026286e-5,78,3.466867197559686e-4,Activated in limbus,NES = regulon activity; not transcript abundance
