contrast,label,tf,NES,pvalue,regulon_size,padj,activity,interpretation
C2,Limbus vs conjunctiva,SOX8,2.340044547922896,0.019281439860972416,11,0.12875039273238037,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,MECOM,-2.331646133051209,0.019719314771599085,158,0.12875039273238037,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HOXD1,2.3301478582500055,0.019798337716531857,33,0.12875039273238037,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HHEX,-2.309682437597872,0.020905741823631467,362,0.12875039273238037,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ATOH8,2.308690768892915,0.02096074695757471,15,0.12875039273238037,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,GRHL1,-2.294245288584659,0.021776413257376864,13,0.12875039273238037,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,SOX10,2.2828884871089374,0.022436937820601202,149,0.12875039273238037,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,PRRX1,2.2823955020178763,0.022466000660672298,52,0.12875039273238037,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,MEOX2,2.2812705053032665,0.022532444916319807,414,0.12875039273238037,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,PLSCR1,-2.275252179036094,0.022890806350872938,135,0.12875039273238037,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,AEBP1,2.2685898843887498,0.023293277333980227,241,0.12875039273238037,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,CEBPG,2.2660326503366135,0.0234493842433545,225,0.12875039273238037,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,RUNX3,2.2484204029898844,0.024549395385368888,110,0.13229396402115456,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,BNC2,2.2297681168202588,0.025762841081655042,146,0.13533668702646184,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZBTB5,2.2247438078663135,0.02609844157822071,203,0.13533668702646184,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,CREM,-2.218151622894578,0.02654449598250678,11,0.13533668702646184,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF568,-2.2118891880106584,0.026974322500119538,22,0.13533668702646184,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,SMAD9,2.2014512976545775,0.027704090883014374,78,0.136642210965376,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,MEF2C,2.193652945555108,0.02826036901568369,552,0.1370627897260659,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HSF2,2.1772309096112856,0.029463343175406477,128,0.1405546371154637,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,PRDM1,-2.147964352409502,0.03171658744219856,18,0.14886333783354486,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF486,-2.1024173349386213,0.035516733992072225,111,0.16108289874504594,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,RORA,2.1020593771560576,0.035548074789043274,192,0.16108289874504594,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HLX,2.0971452856884603,0.03598071621452916,12,0.16108289874504594,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,TAL1,-2.083661589574588,0.03719096042828885,323,0.16397832552472813,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,CSRNP2,2.0519985160705856,0.0401698066303787,12,0.17446886163343586,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,CENPT,-2.045705441214602,0.040785360083844265,56,0.17453734977056884,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,GATA2,2.0195723742304326,0.043427763100861924,229,0.18315187046885248,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,MEIS2,-2.0049819321683158,0.04496497863378404,97,0.18620754039676782,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,TSHZ3,-2.000174094160908,0.04548146814485043,304,0.18620754039676782,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZBED2,1.9947333613633147,0.04607196875796317,51,0.18620754039676782,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,TBX3,1.98677521437565,0.04694731245895911,29,0.18714613596653565,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NR2F1,-1.9686569420263162,0.048992498943790465,333,0.1901475347872404,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,TWIST1,1.9685299236186389,0.049007096594649587,150,0.1901475347872404,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,SKI,1.9599628858520937,0.05000012842592738,138,0.19144786015716933,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF770,1.9182585948543112,0.05507822975030404,29,0.20557850995199314,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,PLAGL1,-1.9180590970810105,0.05510351813146208,388,0.20557850995199314,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,PURB,1.910642966561272,0.0560504787664826,56,0.20646442178539795,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,NFATC4,1.8918691343391647,0.0585084191542546,13,0.21282437467360113,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZXDC,-1.8811703272283224,0.05994875275620294,108,0.21334358027715344,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,HMBOX1,1.8799313474000574,0.060117434992187566,14,0.21334358027715344,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF10,1.8718413791640935,0.06122855163836682,23,0.21466877743090054,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF687,-1.8610619531083732,0.06273542831598893,27,0.21733344809467592,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF18,1.851366081657233,0.06411690523599739,28,0.21950611086676752,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF667,1.8277935506388288,0.06758054152005065,49,0.2230478286797125,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF711,1.8252800680978227,0.0679587764238998,317,0.2230478286797125,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,BHLHE22,1.8245252505866203,0.06807270250852843,68,0.2230478286797125,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,TET2,1.8235682041544412,0.06821737715633819,14,0.2230478286797125,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZFHX4,1.810942601711248,0.070149737114451,38,0.22681748333672488,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,PRDM16,1.8024435233476173,0.07147565276867178,40,0.22856499951300538,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,DMRTA2,1.7810212250988817,0.07490898337886265,28,0.23571054509477238,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,FOXF2,1.7784487980435533,0.07533017420554582,155,0.23571054509477238,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,MKX,1.7640332143225566,0.07772638733033477,47,0.23871838708984036,Activated in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF750,-1.7628124939138923,0.07793211949668327,34,0.23871838708984036,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF326,-1.7534400490357864,0.07952650164884718,203,0.24106470812306802,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,SOX15,-1.7443163545689377,0.08110394139989409,102,0.24331182419968228,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF57,-1.7364299466189281,0.082487841010053,127,0.24493838504005536,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,IRF2,-1.7291363746735318,0.08378469036517787,10,0.24601000859821687,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,IRX5,-1.7242597009071108,0.08466097083891265,303,0.24601000859821687,Repressed in limbus,NES = regulon activity; not transcript abundance
C2,Limbus vs conjunctiva,ZNF532,1.716082925384042,0.08614686588302686,384,0.24601000859821687,Activated in limbus,NES = regulon activity; not transcript abundance
