tf,n_rewired_edges,size,frac_rewired
BNC1,17,19,0.895
NR3C1,17,19,0.895
PRDM1,17,18,0.944
ZNF286A,17,23,0.739
ATF4,16,25,0.64
JUNB,16,18,0.889
PKNOX2,16,28,0.571
PRDM2,16,19,0.842
PRDM6,16,29,0.552
ZNF431,16,22,0.727
ZNF451,16,18,0.889
TSC22D1,15,20,0.75
ZBTB16,15,24,0.625
ZNF174,15,18,0.833
ZNF568,15,22,0.682
CSRNP3,14,22,0.636
ETV3,14,20,0.7
MTERF1,14,18,0.778
MTF2,14,18,0.778
TERF2,14,16,0.875
ZFP30,14,21,0.667
ZNF628,14,17,0.824
ALX1,13,14,0.929
BCL11B,13,17,0.765
CEBPD,13,14,0.929
MBD6,13,36,0.361
PPARG,13,25,0.52
RFX2,13,14,0.929
THAP1,13,20,0.65
ZIK1,13,33,0.394
ZNF280D,13,19,0.684
ZNF750,13,34,0.382
DBP,12,19,0.632
IRF4,12,15,0.8
NR2F2,12,12,1
ZFP2,12,22,0.545
ZNF800,12,18,0.667
ARID5B,11,14,0.786
ATOH8,11,15,0.733
ELK4,11,20,0.55
GRHL1,11,13,0.846
L3MBTL3,11,15,0.733
PBX1,11,19,0.579
TLX2,11,17,0.647
ZNF268,11,16,0.688
ZNF43,11,23,0.478
NFIC,10,20,0.5
YBX3,10,11,0.909
CARF,9,17,0.529
CEBPA,9,19,0.474
CSRNP2,9,12,0.75
HMBOX1,9,14,0.643
NFATC4,9,13,0.692
PAX6,9,22,0.409
TET2,9,14,0.643
ZNF2,9,22,0.409
ZNF616,9,19,0.474
IRF6,8,9,0.889
KLF9,8,14,0.571
NFE2L3,8,8,1
OTX1,8,16,0.5
SKIL,8,9,0.889
SOX18,8,12,0.667
ASH1L,7,11,0.636
BAZ2A,7,18,0.389
BAZ2B,7,7,1
CPEB1,7,7,1
DLX4,7,11,0.636
ETS2,7,10,0.7
GRHL3,7,18,0.389
HLX,7,12,0.583
MEF2D,7,15,0.467
MYBL2,7,7,1
NKX6-2,7,8,0.875
POU6F2,7,9,0.778
TBX2,7,8,0.875
TFAP2B,7,11,0.636
TRPS1,7,11,0.636
ZBTB20,7,8,0.875
ZNF165,7,9,0.778
ZNF230,7,8,0.875
ZNF496,7,9,0.778
ZNF704,7,9,0.778
ZXDB,7,10,0.7
BACH2,6,8,0.75
KDM2A,6,8,0.75
LCOR,6,6,1
OSR1,6,12,0.5
SHOX,6,8,0.75
ZNF44,6,11,0.545
ATF3,5,8,0.625
ETV4,5,5,1
HIC1,5,12,0.417
JUN,5,9,0.556
MYC,5,5,1
NR4A2,5,10,0.5
POU2F3,5,5,1
SATB1,5,6,0.833
ZBTB41,5,12,0.417
ZFP91,5,8,0.625
ZKSCAN3,5,7,0.714
ZKSCAN5,5,13,0.385
ZNF141,5,14,0.357
ZNF177,5,12,0.417
ZNF211,5,7,0.714
ZNF217,5,8,0.625
ZNF222,5,5,1
ZNF311,5,9,0.556
ZNF362,5,11,0.455
ZNF77,5,18,0.278
AKNA,4,7,0.571
BATF,4,14,0.286
BCL6,4,8,0.5
ELF3,4,7,0.571
EMX2,4,4,1
GLIS3,4,9,0.444
IRF8,4,8,0.5
JDP2,4,8,0.5
MAFF,4,7,0.571
MEOX1,4,5,0.8
NCOA2,4,6,0.667
NFYB,4,8,0.5
PITX2,4,12,0.333
PLAGL2,4,4,1
SOX8,4,11,0.364
SP7,4,6,0.667
TP63,4,7,0.571
XBP1,4,5,0.8
ZFY,4,8,0.5
ZNF404,4,6,0.667
ZNF506,4,4,1
ZNF607,4,6,0.667
ZNF662,4,4,1
ZSCAN32,4,7,0.571
ELF5,3,5,0.6
ETV7,3,3,1
FOXO1,3,3,1
KLF15,3,4,0.75
KLF7,3,7,0.429
NFX1,3,3,1
SOX4,3,3,1
SREBF2,3,4,0.75
ZBTB11,3,3,1
ZNF256,3,5,0.6
ZNF540,3,4,0.75
ZNF611,3,6,0.5
ZNF813,3,3,1
AHR,2,3,0.667
BPTF,2,2,1
CREM,2,11,0.182
DLX5,2,5,0.4
DRAP1,2,2,1
EPAS1,2,2,1
HEY1,2,3,0.667
KLF11,2,2,1
KLF5,2,3,0.667
LHX6,2,3,0.667
MAX,2,3,0.667
MEIS1,2,6,0.333
MEIS3,2,3,0.667
MXD4,2,2,1
NPAS3,2,2,1
NR3C2,2,4,0.5
PCGF6,2,2,1
PLAG1,2,3,0.667
RARA,2,2,1
SP5,2,12,0.167
TFAP2C,2,5,0.4
THAP2,2,2,1
TP73,2,2,1
ZBED3,2,2,1
ZBTB6,2,5,0.4
ZFHX3,2,4,0.5
ZKSCAN4,2,6,0.333
ZNF155,2,6,0.333
ZNF20,2,3,0.667
ZNF423,2,35,0.057
ZNF529,2,5,0.4
ZNF618,2,5,0.4
ZNF627,2,2,1
ZNF655,2,2,1
ZNF765,2,9,0.222
ZNF789,2,4,0.5
ZNF879,2,3,0.667
ZSCAN16,2,4,0.5
ASCL2,1,1,1
BCL11A,1,3,0.333
BHLHE40,1,1,1
CREB3L1,1,4,0.25
EBF3,1,8,0.125
ELF1,1,1,1
FOXC1,1,5,0.2
FOXE1,1,10,0.1
FOXK1,1,1,1
FOXQ1,1,5,0.2
GLIS1,1,2,0.5
HIVEP1,1,2,0.5
IKZF2,1,1,1
IRF1,1,1,1
IRF2,1,10,0.1
KLF10,1,2,0.5
LCORL,1,1,1
MEF2A,1,5,0.2
MLX,1,1,1
MLXIP,1,1,1
MNT,1,1,1
MYRF,1,1,1
NFATC3,1,1,1
NFIA,1,1,1
OVOL2,1,5,0.2
PAX9,1,3,0.333
POU3F3,1,2,0.5
POU6F1,1,5,0.2
RREB1,1,2,0.5
SRCAP,1,3,0.333
STAT5A,1,1,1
TEAD3,1,3,0.333
TET1,1,1,1
TFAP2A,1,2,0.5
TGIF1,1,1,1
THAP8,1,1,1
TIGD2,1,1,1
TIGD7,1,1,1
ZHX2,1,3,0.333
ZIM2,1,1,1
ZNF107,1,1,1
ZNF124,1,5,0.2
ZNF248,1,5,0.2
ZNF263,1,2,0.5
ZNF285,1,4,0.25
ZNF296,1,2,0.5
ZNF33A,1,1,1
ZNF33B,1,5,0.2
ZNF395,1,1,1
ZNF561,1,1,1
ZNF569,1,1,1
ZNF597,1,1,1
ZNF718,1,2,0.5
ZNF835,1,4,0.25
