Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
SCN2A,-2.0499456867174475,3.5775394552623845,-12.741237115985506,1.465782373433868e-9,2.9335670163350523e-5,10.794552981150142,Down,C2
PRR16,1.7484077298156677,3.779168088905413,11.895100032240588,3.8346181114107795e-9,2.9335670163350523e-5,10.107613201725686,Up,C2
XM_005272012,1.7484077298156677,3.779168088905413,11.895100032240588,3.8346181114107795e-9,2.9335670163350523e-5,10.107613201725686,Up,C2
CYTL1,5.438966321468936,8.571454923464048,11.688869386552353,4.888870954645533e-9,2.9335670163350523e-5,9.929838458334183,Up,C2
THBS4,2.836502185835295,9.585171439352074,9.93058813356797,4.511520108119808e-8,2.1657101127018323e-4,8.228559648087039,Up,C2
FA2H,2.0668903935832503,9.504088944862522,9.4094815160725,9.23265827905446e-8,3.6933710668977525e-4,7.6536315360738065,Up,C2
HNF4G,-1.8359238169568268,4.503056776489233,-8.93869327151206,1.808083978948916e-7,6.199661666104555e-4,7.103273072452973,Down,C2
PTHLH,-2.239481557858565,4.48244948395766,-8.274919072283733,4.86962762779289e-7,0.0012289918146469168,6.274302914381376,Down,C2
XM_006719115,-2.239481557858565,4.48244948395766,-8.274919072283733,4.86962762779289e-7,0.0012289918146469168,6.274302914381376,Down,C2
ITGA10,2.679640852310234,7.4089224180267035,8.124064604606616,6.144447035981585e-7,0.0012289918146469168,6.076871953159392,Up,C2
XM_005277432,2.679640852310234,7.4089224180267035,8.124064604606616,6.144447035981585e-7,0.0012289918146469168,6.076871953159392,Up,C2
XM_005277435,2.679640852310234,7.4089224180267035,8.124064604606616,6.144447035981585e-7,0.0012289918146469168,6.076871953159392,Up,C2
SYNPR,3.133678561403821,7.0077154425651935,8.020612178427287,7.218441600147327e-7,0.0013327464252825857,5.939488703652543,Up,C2
POU3F3,2.7635071701314997,7.657313322080208,7.855435385727164,9.361652160377693e-7,0.0016049883939527527,5.716739789457339,Up,C2
