Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,status,contrast
GNB4,4.209956341237319,7.383740125236084,27.00488352155642,2.4279705417775868e-14,5.827614894374564e-10,22.40383760345989,Up,C1
MMP2,4.493044831054223,8.664136959217137,22.605629456715818,3.4757527013335074e-13,3.9551166925377726e-9,20.163619473185527,Up,C1
ADAMTS1,5.442053052257708,7.140120539553625,21.894847319302826,5.592654472787512e-13,3.9551166925377726e-9,19.74710431487088,Up,C1
LAMA4,3.8820618815804684,6.165740500226513,21.421181493114425,7.741290423511229e-13,3.9551166925377726e-9,19.459853588409317,Up,C1
PRKACB,3.3620844422577774,6.9738569097821905,21.331482507973988,8.239139847799711e-13,3.9551166925377726e-9,19.404554161758355,Up,C1
MFAP5,4.351242370199426,4.707494653678284,20.763443597180228,1.2297568427023707e-12,4.216660534077471e-9,19.047480884416935,Up,C1
XR_242903,4.351242370199426,4.707494653678284,20.763443597180228,1.2297568427023707e-12,4.216660534077471e-9,19.047480884416935,Up,C1
DOCK10,2.764581848522152,4.522035586381062,19.53669937357724,3.02793301298851e-12,7.267644817775021e-9,18.233641968831748,Up,C1
XM_006712616,2.764581848522152,4.522035586381062,19.53669937357724,3.02793301298851e-12,7.267644817775021e-9,18.233641968831748,Up,C1
XM_006712618,2.764581848522152,4.522035586381062,19.53669937357724,3.02793301298851e-12,7.267644817775021e-9,18.233641968831748,Up,C1
NID1,3.7241381953154518,7.5999340135009925,18.565679600444923,6.418209623758615e-12,1.2006375741657341e-8,17.544706842867917,Up,C1
TGFBR2,3.273527172708773,9.972758827852092,18.514726046592617,6.682915330938765e-12,1.2006375741657341e-8,17.50739110392064,Up,C1
ARMCX3,3.2620603112893756,7.457439383397506,18.354412523983974,7.594173861190798e-12,1.2006375741657341e-8,17.38920182037743,Up,C1
POSTN,6.186973602000372,6.903615600820597,18.322135111180465,7.793125001033185e-12,1.2006375741657341e-8,17.36526073429509,Up,C1
RBMS3,3.377147995591324,7.598892178178205,18.278043356700692,8.073893179881524e-12,1.2006375741657341e-8,17.33247754544722,Up,C1
XM_006713109,3.377147995591324,7.598892178178205,18.278043356700692,8.073893179881524e-12,1.2006375741657341e-8,17.33247754544722,Up,C1
CTSK,2.9223070381147203,9.272996778464876,18.213592180593,8.50380749971564e-12,1.2006375741657341e-8,17.2843917209371,Up,C1
CXCL12,5.381358981227988,6.138090452496608,18.053632718267302,9.679398490961053e-12,1.2906940143335954e-8,17.164195653450214,Up,C1
GUCY1B1,3.2163487595694162,5.957629397975152,17.714816877729508,1.2778592719099946e-11,1.5834893446707172e-8,16.905518053881416,Up,C1
SRPX,5.381879122822044,7.732460261438451,17.58332820006083,1.4251726506807529e-11,1.5834893446707172e-8,16.803605602879486,Up,C1
JAM2,2.810202388763725,4.675240058538733,17.561429660893918,1.4514109483691267e-11,1.5834893446707172e-8,16.786548749009327,Up,C1
XM_006724037,2.810202388763725,4.675240058538733,17.561429660893918,1.4514109483691267e-11,1.5834893446707172e-8,16.786548749009327,Up,C1
PDGFC,2.591372551484646,9.383109921112336,17.442831760217103,1.602714612013683e-11,1.6450727482355388e-8,16.693752051056507,Up,C1
SERPING1,3.2860366182282057,10.000866997389517,17.411853871286304,1.644935670263017e-11,1.6450727482355388e-8,16.669395951903354,Up,C1
EDNRA,3.7047473787915433,6.911772708821296,17.35281746621405,1.7287047103265875e-11,1.65969481829035e-8,16.6228434461311,Up,C1
CYB5R3,1.5604288131678956,11.037176109382349,17.304561864863306,1.800541000101911e-11,1.6621763494017718e-8,16.58465930747746,Up,C1
TAGLN,4.6694801061356985,7.311291268907924,17.149456299553304,2.0537278144862745e-11,1.8256879630851687e-8,16.461110785373528,Up,C1
IFITM2,3.266114869939292,9.861816978750054,17.079826383667456,2.1794489783050275e-11,1.8682547991884737e-8,16.405239593691178,Up,C1
RBPMS,3.7502019734361625,7.435573118487415,17.005726582939726,2.322265727455772e-11,1.9220352410480497e-8,16.345501575287443,Up,C1
SAMHD1,4.6976344161616135,6.075158016263473,16.6862488262388,3.0620761947659953e-11,2.3708371879604327e-8,16.08458759870114,Up,C1
XM_005260384,4.6976344161616135,6.075158016263473,16.6862488262388,3.0620761947659953e-11,2.3708371879604327e-8,16.08458759870114,Up,C1
TMEM47,4.923789690090503,7.901182863056385,16.340816881093026,4.151771052682996e-11,3.11408777520304e-8,15.796201098286504,Up,C1
IFITM1,3.5236267923722515,10.12400926647186,16.291629314728326,4.337748967111512e-11,3.15498941541244e-8,15.75459393121688,Up,C1
PMP22,3.2143246212740824,9.596201773970387,16.179706806630733,4.7946935873936294e-11,3.375705036222789e-8,15.659407780693206,Up,C1
FAM171B,3.3112245522307333,5.9007165325483655,16.08945926774934,5.200326023616134e-11,3.375705036222789e-8,15.582132889153042,Up,C1
CNTN4,-3.68621712226523,5.529208117749825,-16.088723654558585,5.203778282653245e-11,3.375705036222789e-8,15.581501087406343,Down,C1
